OBJECTID,CITY,CITYCODE,MUNITYPE,DISTRICT,MUNICIPAL,MUNICODE,ACC_INDEX,SUMACCIDEN,INJTOTAL,DEAD,SEVER_INJ,SLIGH_INJ,INJ0_19,INJ20_64,INJ65_,PEDESTRINJ,TOTDRIVERS,VEHICLE,BICYCLE,MOTORCYCLE,PRIVATE,TRUCK
1,אבו גוש,472,מועצה מקומית,ירושלים,אבו גוש,472,61.86412358,117,146,0,4,142,25,96,15,19,203,203,6,14,142,7
2,אבו סנאן,473,מועצה מקומית,צפון,אבו סנאן,473,43.76059596,293,541,1,11,529,140,373,24,34,501,501,12,16,393,10
3,אבן יהודה,182,מועצה מקומית,מרכז,אבן יהודה,182,33.27044774,275,361,3,13,345,56,259,39,40,530,530,8,35,399,16
4,אום אל פחם,2710,עירייה,חיפה,אום אל פחם,2710,41.99277618,1093,1788,5,44,1739,494,1193,61,201,1850,1850,13,80,1294,62
5,אופקים,31,עירייה,דרום,אופקים,31,31.02261563,322,416,3,15,398,87,280,44,66,526,526,28,10,355,14
6,אור יהודה,2400,עירייה,תל אביב,אור יהודה,2400,163.2741261,1088,1334,7,47,1280,170,995,129,183,1931,1931,49,228,1239,64
7,אור עקיבא,1020,עירייה,חיפה,אור עקיבא,1020,76.45139848,424,533,2,26,505,95,356,66,82,719,719,54,19,501,23
8,אזור,565,מועצה מקומית,תל אביב,אזור,565,137.618532,305,358,2,11,345,43,276,29,45,517,517,17,82,302,14
9,אילת,2600,עירייה,דרום,אילת,2600,14.05762974,1415,1753,5,51,1697,298,1224,151,275,2391,2391,221,289,1230,41
10,אכסאל,478,מועצה מקומית,צפון,אכסאל,478,25.81105992,235,360,0,21,339,89,253,16,41,398,398,6,12,280,14
11,ואדי חמאם,993,מועצה אזורית,צפון,אל בטוף,5565,32.91231125,14,23,0,0,23,10,13,0,2,19,19,0,0,16,0
12,עוזיר,528,מועצה אזורית,צפון,אל בטוף,5565,14.28409052,19,24,1,4,19,10,14,0,7,28,28,1,0,18,1
13,רומאנה,539,מועצה אזורית,צפון,אל בטוף,5565,13.21195892,5,6,0,1,5,0,6,0,2,9,9,0,1,6,0
14,רמת אלהייב,997,מועצה אזורית,צפון,אל בטוף,5565,12.23429946,21,30,0,0,30,8,20,2,3,35,35,1,0,26,1
15,אום בטין,1358,מועצה אזורית,דרום,אל קסום,5569,8.278728542,55,102,3,4,95,17,72,9,5,102,102,2,2,66,4
16,אל סייד,1359,מועצה אזורית,דרום,אל קסום,5569,4.233158561,13,15,2,1,12,6,8,1,5,20,20,1,0,13,2
17,דריג'את,1349,מועצה אזורית,דרום,אל קסום,5569,10.92646662,10,26,0,1,25,5,21,0,2,14,14,0,0,8,1
18,סעוה,1360,מועצה אזורית,דרום,אל קסום,5569,0.451768661,5,11,0,3,8,2,9,0,1,8,8,0,0,6,0
19,מכחול,1343,מועצה אזורית,דרום,אל קסום,5569,0.336901753,2,2,0,1,1,0,2,0,0,2,2,0,0,1,0
20,תראבין א-צאנע,1346,מועצה אזורית,דרום,אל קסום,5569,3.407790442,7,12,3,1,8,5,7,0,3,12,12,0,0,7,1
21,אביאל,679,מועצה אזורית,חיפה,אלונה,5545,2.47544094,17,41,5,5,31,12,25,3,0,27,27,2,2,15,1
22,גבעת נילי,360,מועצה אזורית,חיפה,אלונה,5545,6.7870812,44,96,1,2,93,20,73,3,1,98,98,0,1,72,8
23,עמיקם,773,מועצה אזורית,חיפה,אלונה,5545,0.804263833,11,18,0,2,16,1,17,0,0,17,17,1,3,9,1
24,אליכין,41,מועצה מקומית,מרכז,אליכין,41,20.12902414,34,40,0,3,37,8,24,7,7,55,55,2,3,34,2
25,אלעד,1309,עירייה,מרכז,אלעד,1309,113.5456668,396,512,1,12,499,155,315,21,106,677,677,43,57,414,21
26,אעבלין,529,מועצה מקומית,צפון,אעבלין,529,38.89627496,470,917,6,19,892,181,687,46,31,858,858,2,10,657,21
27,אשדוד,70,עירייה,דרום,אשדוד,70,96.22020932,6148,8404,20,123,8261,1321,6113,788,961,11508,11508,415,537,8383,445
28,אבשלום,1311,מועצה אזורית,דרום,אשכול,5538,3.52674607,2,4,0,0,4,2,2,0,0,3,3,0,0,2,0
29,אורים,403,מועצה אזורית,דרום,אשכול,5538,0.989997114,21,40,0,6,34,7,30,3,1,37,37,0,2,18,4
30,בארי,399,מועצה אזורית,דרום,אשכול,5538,1.470345122,17,25,1,2,22,3,19,3,0,33,33,1,3,22,1
31,בני נצרים,1363,מועצה אזורית,דרום,אשכול,5538,1.31797209,2,2,0,0,2,2,0,0,1,2,2,0,0,1,0
32,דקל,1241,מועצה אזורית,דרום,אשכול,5538,1.350761646,4,6,0,0,6,3,2,1,0,6,6,0,0,3,0
33,ישע,916,מועצה אזורית,דרום,אשכול,5538,3.038355391,14,21,1,1,19,1,17,3,0,27,27,0,0,18,4
34,יתד,1227,מועצה אזורית,דרום,אשכול,5538,0.860267218,3,3,0,1,2,0,2,1,0,3,3,0,0,2,0
35,כיסופים,840,מועצה אזורית,דרום,אשכול,5538,0.329389633,5,8,1,4,3,1,6,1,0,8,8,0,0,3,5
36,כרם שלום,1085,מועצה אזורית,דרום,אשכול,5538,0.906165292,6,7,0,0,7,2,3,1,3,7,7,0,0,1,1
37,מבטחים,829,מועצה אזורית,דרום,אשכול,5538,1.135951421,5,6,0,0,6,1,4,1,1,9,9,0,0,7,1
38,מגן,695,מועצה אזורית,דרום,אשכול,5538,1.261755223,9,10,0,0,10,2,7,1,0,13,13,1,0,6,2
39,נווה,1366,מועצה אזורית,דרום,אשכול,5538,1.040823721,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0
40,ניר יצחק,402,מועצה אזורית,דרום,אשכול,5538,0.333618489,2,3,0,1,2,0,2,1,0,3,3,0,0,3,0
41,ניר עוז,69,מועצה אזורית,דרום,אשכול,5538,0.172796354,3,3,0,0,3,0,3,0,1,3,3,0,0,2,0
42,נירים,602,מועצה אזורית,דרום,אשכול,5538,0.245927025,6,8,1,0,7,1,6,1,0,11,11,0,0,7,1
43,עין הבשור,1240,מועצה אזורית,דרום,אשכול,5538,1.549183373,5,7,0,0,7,1,3,2,0,9,9,0,0,6,1
44,עמיעוז,318,מועצה אזורית,דרום,אשכול,5538,1.211502596,5,6,0,2,4,0,5,0,0,9,9,0,0,5,2
45,פרי גן,1231,מועצה אזורית,דרום,אשכול,5538,0.650997155,2,2,0,0,2,0,1,1,0,2,2,0,1,1,0
46,צאלים,413,מועצה אזורית,דרום,אשכול,5538,2.430501312,16,18,0,0,18,2,14,2,0,20,20,0,3,10,0
47,רעים,713,מועצה אזורית,דרום,אשכול,5538,1.257898195,18,33,0,0,33,6,24,3,0,26,26,0,3,17,3
48,שדה ניצן,1058,מועצה אזורית,דרום,אשכול,5538,0.417957425,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0
49,שדי אברהם,1223,מועצה אזורית,דרום,אשכול,5538,0.266176865,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0
50,שטח כללי - אשכול,5538,מועצה אזורית,דרום,אשכול,5538,0.16113759,85,132,5,13,114,10,112,5,0,151,151,2,4,81,26
51,שלומית,1364,מועצה אזורית,דרום,אשכול,5538,1.860228374,2,2,0,2,0,1,1,0,1,2,2,0,0,2,0
52,תלמי אליהו,1051,מועצה אזורית,דרום,אשכול,5538,0.853470816,5,7,0,0,7,1,3,3,0,9,9,1,1,5,0
53,אשקלון,7100,עירייה,דרום,אשקלון,7100,105.2600965,5507,7680,23,113,7544,1335,5534,670,736,10297,10297,301,382,7641,271
54,באקה אל גרבייה (באקה אל ררבי,6000,עירייה,חיפה,באקה אל גרבייה (באקה אל ררבי,6000,87.357006,802,1264,3,31,1230,360,855,31,104,1411,1411,61,43,1004,33
55,אביגדור,819,מועצה אזורית,דרום,באר טוביה,5533,4.303493629,15,24,1,0,23,4,17,2,0,28,28,0,2,18,0
56,אורות,2012,מועצה אזורית,דרום,באר טוביה,5533,4.65611508,12,21,1,1,19,3,17,1,1,22,22,1,0,15,2
57,אחווה,1157,מועצה אזורית,דרום,באר טוביה,5533,66.7225676,6,10,0,0,10,0,9,1,0,11,11,0,0,9,0
58,אמונים,772,מועצה אזורית,דרום,באר טוביה,5533,28.56258084,113,169,1,1,167,21,143,4,1,230,230,2,6,180,10
59,באר טוביה,155,מועצה אזורית,דרום,באר טוביה,5533,12.56628656,74,86,0,0,86,7,64,9,10,128,128,1,1,85,13
60,ביצרון,234,מועצה אזורית,דרום,באר טוביה,5533,7.431383296,42,60,1,2,57,7,45,6,2,84,84,1,3,60,2
61,בית עזרא,756,מועצה אזורית,דרום,באר טוביה,5533,38.50669945,171,283,1,6,276,49,221,12,0,363,363,2,6,287,15
62,גבעתי,793,מועצה אזורית,דרום,באר טוביה,5533,4.455066696,16,20,0,0,20,2,18,0,2,26,26,0,2,20,1
63,חצב,700,מועצה אזורית,דרום,באר טוביה,5533,5.401563179,24,32,0,0,32,1,28,3,4,38,38,0,3,26,1
64,חצור-אשדוד,406,מועצה אזורית,דרום,באר טוביה,5533,1.931612929,9,12,0,0,12,0,12,0,0,16,16,0,1,11,1
65,ינון,2011,מועצה אזורית,דרום,באר טוביה,5533,7.112919287,33,41,2,1,38,2,36,3,5,58,58,0,2,43,1
66,כפר אחים,690,מועצה אזורית,דרום,באר טוביה,5533,3.905101401,12,22,0,0,22,2,19,0,1,25,25,0,1,20,0
67,כפר ורבורג,320,מועצה אזורית,דרום,באר טוביה,5533,5.251146058,34,54,0,7,47,9,41,3,3,63,63,0,3,45,2
68,נווה מבטח,827,מועצה אזורית,דרום,באר טוביה,5533,1.35845227,3,4,0,0,4,0,4,0,0,5,5,0,1,2,0
69,ניר בנים,553,מועצה אזורית,דרום,באר טוביה,5533,3.121117483,13,21,0,0,21,4,14,3,0,22,22,0,3,18,0
70,עזר,1149,מועצה אזורית,דרום,באר טוביה,5533,29.03229806,4,4,0,0,4,1,3,0,0,6,6,0,1,5,0
71,עזריקם,817,מועצה אזורית,דרום,באר טוביה,5533,13.10343724,64,91,0,1,90,10,71,7,3,120,120,0,2,85,6
72,ערוגות,593,מועצה אזורית,דרום,באר טוביה,5533,26.090963,107,169,2,4,163,15,139,13,4,226,226,1,3,172,11
73,שדה עוזיהו,739,מועצה אזורית,דרום,באר טוביה,5533,62.13781442,285,436,3,7,426,54,345,26,5,597,597,5,17,479,31
74,שטח כללי - באר טוביה,5533,מועצה אזורית,דרום,באר טוביה,5533,7.138563953,314,454,0,8,446,51,358,41,15,618,618,4,19,463,41
75,שתולים,763,מועצה אזורית,דרום,באר טוביה,5533,6.09887942,24,29,0,1,28,6,22,1,2,45,45,2,2,29,1
76,תימורים,163,מועצה אזורית,דרום,באר טוביה,5533,8.298983722,29,51,1,0,50,11,35,4,5,54,54,0,0,40,6
77,תלמי יחיאל,727,מועצה אזורית,דרום,באר טוביה,5533,0.265861064,1,1,0,0,1,0,1,0,0,2,2,0,0,0,0
78,באר יעקב,2530,מועצה מקומית,מרכז,באר יעקב,2530,59.29046472,561,746,1,19,726,133,546,51,67,1065,1065,17,76,771,35
79,באר שבע,9000,עירייה,דרום,באר שבע,9000,65.52897058,7693,10917,40,212,10665,1464,8153,1182,988,13898,13898,237,429,9696,314
80,דחי,475,מועצה אזורית,צפון,בוסתאן אל מרג,5566,3.503404568,1,1,0,0,1,0,1,0,0,2,2,0,0,1,0
81,כפר מצר,512,מועצה אזורית,צפון,בוסתאן אל מרג,5566,3.71554457,15,22,0,2,20,6,16,0,1,25,25,2,0,17,1
82,נין,523,מועצה אזורית,צפון,בוסתאן אל מרג,5566,40.83764302,106,224,0,4,220,54,166,3,1,225,225,0,2,188,12
83,סולם,526,מועצה אזורית,צפון,בוסתאן אל מרג,5566,2.876857629,6,8,0,0,8,2,5,1,1,8,8,0,0,6,0
84,בועיינה - נוג'ידאת,482,מועצה מקומית,צפון,בועיינה - נוגידאת,482,13.82739755,99,161,1,7,153,38,118,5,17,157,157,1,3,117,4
85,בוקעאתא,4001,מועצה מקומית,צפון,בוקעאתא,4001,3.531194452,69,118,1,6,111,20,87,10,9,99,99,3,0,68,1
86,ביר אל מכסור,998,מועצה מקומית,צפון,ביר אל מכסור,998,17.50140915,102,158,0,7,151,31,125,2,12,174,174,4,2,129,8
87,בית ג'ן,480,מועצה מקומית,צפון,בית גן,480,29.0315168,209,336,3,6,327,66,255,15,20,300,300,1,7,235,2
88,בית דגן,466,מועצה מקומית,מרכז,בית דגן,466,114.8122109,163,208,0,3,205,23,164,16,13,298,298,7,32,194,12
89,בית שאן,9200,עירייה,צפון,בית שאן,9200,55.91118119,413,536,1,13,522,88,383,53,52,706,706,31,27,482,20
90,בית שמש,2610,עירייה,ירושלים,בית שמש,2610,30.60856987,1172,1498,8,65,1425,307,951,111,292,1890,1890,49,96,1164,62
91,בני ברק,6100,עירייה,תל אביב,בני ברק,6100,491.9381208,3615,4169,11,138,4020,791,2715,432,952,5825,5825,331,787,2963,227
92,"בני עי""ש",1066,מועצה מקומית,מרכז,"בני עי""ש",1066,107.685634,88,112,1,3,108,11,85,14,16,154,154,2,5,113,7
93,בית-קמה,598,מועצה אזורית,דרום,בני שמעון,5541,12.09365835,68,111,0,2,109,15,90,4,1,129,129,0,4,89,7
94,ברוש,2060,מועצה אזורית,דרום,בני שמעון,5541,16.36044826,38,90,3,6,81,16,68,6,1,75,75,0,0,56,6
95,גבעות בר,1344,מועצה אזורית,דרום,בני שמעון,5541,1.554368394,1,1,0,0,1,0,0,1,0,2,2,0,0,2,0
96,דבירה,849,מועצה אזורית,דרום,בני שמעון,5541,1.882526043,16,20,0,0,20,2,16,2,3,23,23,0,3,15,2
97,חצרים,397,מועצה אזורית,דרום,בני שמעון,5541,1.617660266,13,15,1,4,10,0,13,2,2,18,18,0,4,9,1
98,כרמים,1198,מועצה אזורית,דרום,בני שמעון,5541,2.362016027,15,20,0,2,18,1,17,1,0,24,24,0,1,15,0
99,להב,2023,מועצה אזורית,דרום,בני שמעון,5541,2.360618134,20,30,0,3,27,3,26,1,0,27,27,0,6,13,0
100,משמר הנגב,395,מועצה אזורית,דרום,בני שמעון,5541,3.751997293,31,60,2,2,56,13,43,3,0,59,59,1,0,37,3
101,נבטים,396,מועצה אזורית,דרום,בני שמעון,5541,6.871529169,53,96,2,2,92,15,76,4,5,88,88,1,0,49,7
102,שובל,394,מועצה אזורית,דרום,בני שמעון,5541,2.482304955,17,45,2,3,40,8,34,3,0,37,37,0,0,26,4
103,שומריה,1265,מועצה אזורית,דרום,בני שמעון,5541,0.446947186,3,8,0,1,7,1,7,0,0,5,5,0,0,4,0
104,שטח כללי - בני שמעון,5541,מועצה אזורית,דרום,בני שמעון,5541,3.00389609,885,1744,33,91,1620,274,1362,88,25,1752,1752,10,22,1278,108
105,תאשור,2062,מועצה אזורית,דרום,בני שמעון,5541,1.41445355,4,5,0,1,4,0,4,1,0,7,7,0,2,3,0
106,תדהר,2061,מועצה אזורית,דרום,בני שמעון,5541,5.787643503,22,46,1,6,39,10,35,1,3,36,36,0,1,31,0
107,בנימינה - גבעת עדה,9800,מועצה מקומית,חיפה,בנימינה - גבעת עדה,9800,16.10867552,393,574,2,19,553,90,438,39,32,712,712,22,35,531,19
108,"בסמ""ה",1326,מועצה מקומית,חיפה,"בסמ""ה",1326,117.9623397,661,1038,2,5,1031,167,811,53,39,1195,1195,4,15,860,52
109,בסמת טבעון,944,מועצה מקומית,צפון,בסמת טבעון,944,16.54090548,65,87,1,2,84,17,63,7,6,103,103,2,4,71,3
110,בענה,483,מועצה מקומית,צפון,בענה,483,57.82886151,200,392,0,6,386,106,270,15,29,347,347,3,7,272,7
