סמל יישוב,שם יישוב,סך הכל(2)
סך הכל(1),,"9,140,473"
472,אבו גוש,"7,698"
473,אבו סנאן,"14,099"
1342,אבו קורינאת (יישוב),"1,904"
1375,אבו תלול,"2,023"
652,אבטין,"2,835"
1275,אבטליון,468
679,אביאל,821
1115,אביבים,471
819,אביגדור,826
175,אביחיל,"1,422"
2052,אביטל,494
1070,אביעזר,875
1220,אבירים,263
182,אבן יהודה,"13,826"
1081,אבן מנחם,299
783,אבן ספיר,703
400,אבן שמואל,"1,807"
4011,אבני איתן,725
3793,אבני חפץ,"1,923"
3786,אבנת,237
1311,אבשלום,298
3759,אדורה,462
113,אדירים,272
1068,אדמית,216
1123,אדרת,883
446,אודים,"1,379"
4010,אודם,155
1046,אוהד,408
2710,אום אל-פחם,"56,109"
2024,אום אל-קוטוף,"1,117"
1358,אום בטין,"4,277"
1108,אומן,387
680,אומץ,849
31,אופקים,"30,662"
31,אופקים,"5,246"
31,אופקים,"2,773"
31,אופקים,"3,045"
31,אופקים,"3,051"
31,אופקים,"6,123"
31,אופקים,"10,424"
1294,אור הגנוז,574
67,אור הנר,769
2400,אור יהודה,"36,813"
2400,אור יהודה,"5,920"
2400,אור יהודה,"2,489"
2400,אור יהודה,"2,332"
2400,אור יהודה,"3,505"
2400,אור יהודה,"2,122"
2400,אור יהודה,"3,261"
2400,אור יהודה,"1,797"
2400,אור יהודה,"7,181"
2400,אור יהודה,"3,332"
2400,אור יהודה,"4,412"
2400,אור יהודה,462
1020,אור עקיבא,"18,972"
1020,אור עקיבא,"4,882"
1020,אור עקיבא,"3,066"
1020,אור עקיבא,"4,878"
1020,אור עקיבא,"2,232"
1020,אור עקיבא,"3,914"
780,אורה,"1,314"
2012,אורות,496
4013,אורטל,343
403,אורים,502
882,אורנים,178
3760,אורנית,"8,955"
278,אושה,533
565,אזור,"12,957"
565,אזור,"4,334"
565,אזור,"3,901"
565,אזור,"4,721"
1157,אחווה,303
821,אחוזם,547
1330,אחוזת ברק,"2,279"
785,אחיהוד,892
850,אחיטוב,"1,093"
804,אחיסמך,"1,377"
797,אחיעזר,"1,906"
338,איבים,458
716,אייל,534
77,איילת השחר,"1,134"
294,אילון,"1,031"
1126,אילות,315
49,אילנייה,490
2600,אילת,"52,299"
2600,אילת,"1,012"
2600,אילת,"4,594"
2600,אילת,"4,128"
2600,אילת,"3,970"
2600,אילת,"3,052"
2600,אילת,"5,856"
2600,אילת,"3,727"
2600,אילת,"2,293"
2600,אילת,"3,576"
2600,אילת,"1,603"
2600,אילת,"3,549"
2600,אילת,"2,139"
